date,sleep_hours,energy_level,mood_score,exercise_minutes,interruptions,habits_planned,habits_completed,planned_task_hours,completed_task_hours,planned_study_hours,study_hours,planned_deep_work_hours,deep_work_hours,productivity_score
2023-10-20,7,6,7,25,4,6,5,7,4,6.5,3.5,0.25,0.25,56.6
2023-10-21,7.1,7,7,0,2,3,3,3.5,3,0.75,0.75,1,1,53.5
2023-10-22,7.5,8,5,25,1,3,2,0.25,0.25,0,0,0,0,42.1
2023-10-23,4.8,1,5,0,5,6,1,6,1.5,0.25,0,1.5,0.25,19.1
2023-10-24,7,6,7,0,6,5,3,7.5,4.5,1.75,1.25,2.75,0.75,55.6
2023-10-25,7.6,6,6,0,5,6,2,7,5,4.25,3.25,0.75,0.5,53.6
2023-10-26,5.5,6,8,0,4,5,4,5,3,1,0.5,2.5,1.25,48.2
2023-10-27,6.3,3,3,0,7,5,2,5.25,2.5,3,1.5,0.25,0,30.1
2023-10-28,6.1,2,5,0,3,3,1,3,0.75,0.5,0.25,0,0,19.9
2023-10-29,6.4,4,4,0,3,4,1,5.75,3.5,1.75,1,1.25,0.5,38.6
2023-10-30,7.1,,7,25,6,5,4,7.75,5.25,2.5,1.75,2,1.25,64.2
2023-10-31,4.9,1,5,15,3,6,3,4.75,1.75,1,0.25,0.5,0.25,34.4
2023-11-01,7.5,3,8,40,1,6,5,3,2.25,1,0.75,1.25,1,53.4
2023-11-02,7.6,5,6,0,6,5,4,8,5,3.75,2.5,2.5,1.25,60.9
2023-11-03,6.7,5,5,40,4,6,4,6.75,5.25,3.5,2.25,0.5,0.25,57.5
2023-11-04,,1,4,45,3,3,2,0.75,0.25,0.5,0,0,0,16.4
2023-11-05,6.4,6,5,0,2,4,3,2.75,1.75,0.75,0.5,0.5,0.25,36.8
2023-11-06,8.1,6,5,30,6,5,4,7.5,5,3.5,2.25,2,1,59.6
2023-11-07,4.6,3,7,0,2,5,3,8,4.5,1.75,1.25,0.75,0.25,49
2023-11-08,7.1,7,8,15,3,6,5,6.5,6,4.25,4,0.5,0.5,76.1
2023-11-09,6.5,7,5,0,4,6,5,6.5,5.25,1,1,1,1,62.4
2023-11-10,8.2,8,7,35,7,6,5,7,6,3,2.5,1.5,1.25,71.2
2023-11-11,7.7,9,8,20,3,4,4,2,2,0.5,0.5,0.25,0.25,60
2023-11-12,8.6,8,7,50,4,3,3,2.75,2.25,0.5,0.5,1,0.75,63.1
2023-11-13,8.2,8,8,45,5,5,4,8.25,7.75,1,1,3.75,3.5,82.9
2023-11-14,9.1,8,9,20,2,5,4,6.5,6.5,3.25,3,2.5,2.25,76.2
2023-11-15,7.2,6,7,0,5,6,5,5.25,5,0.75,0.75,1.25,1.25,52.5
2023-11-16,7.5,7,9,65,4,5,5,9.5,7.25,5,4.75,2.25,1.75,84.1
2023-11-17,6,7,6,40,2,5,4,6.25,4.75,3,2.5,2.25,1.75,66.1
2023-11-18,8.7,6,6,0,1,3,2,2.75,2.25,1,0.75,0.25,0.25,44.1
2023-11-19,7.1,6,5,30,4,3,2,3.5,2.75,2.25,2,0.25,0.25,49
2023-11-20,6.6,7,7,30,3,5,5,7,6,3.5,2.5,2.25,1.75,73
2023-11-21,7.3,8,8,35,1,5,5,6.5,6,0.5,0.5,3,2.5,78.4
2023-11-22,6,,8,10,2,5,5,7,6,2.5,2.25,1.25,0.75,72.4
2023-11-23,7.8,,8,30,3,6,6,7,6.25,3.25,3,0.5,0.5,79.2
2023-11-24,,8,8,30,4,5,5,7.25,6.75,1.75,1.75,1.75,1.75,77.7
2023-11-25,8.1,4,5,,3,3,3,2,1.5,0.5,0.25,0.25,0.25,46.4
2023-11-26,6.3,7,6,70,1,4,4,3,2,1.25,1,1,0.5,57.9
2023-11-27,6.8,5,6,0,8,5,4,6.75,4.25,2,1.25,2.25,0.75,47.8
2023-11-28,7.5,6,7,0,4,5,0,7.75,5.25,1.75,1.5,2,1.25,46.3
2023-11-29,5.5,2,6,,2,5,3,5.25,2.25,0.75,0.25,2,0.75,51
2023-11-30,6.3,3,4,20,3,5,4,6.5,3.5,4.25,2.25,0.25,0,53
2023-12-01,7.8,6,8,0,4,6,4,6.25,5.25,1.75,1.25,2.25,1.75,60.5
2023-12-02,7.7,6,7,40,3,3,2,3,2.25,1.25,1,0.5,0.25,42.3
2023-12-03,7.9,5,6,0,4,3,3,2.75,2,0.75,0.5,1.25,1,47.6
2023-12-04,8.4,5,4,40,2,5,3,8,5,4,2.25,1.5,1,52.3
2023-12-05,7.1,8,6,10,5,5,4,6.25,6,1.75,1.25,2,1.75,62.9
2023-12-06,7.4,6,6,40,6,6,4,6.5,4,3.5,1.75,2.25,0.5,45.5
2023-12-07,9.5,7,6,0,6,5,5,6.75,6.25,2.5,2.5,0.25,0.25,56.1
2023-12-08,6.9,7,6,45,2,6,5,8.75,8.75,0.5,0.5,0.75,0.75,69.3
2023-12-09,6.6,6,5,25,6,4,3,1.25,0.75,0.25,0.25,0.25,0.25,35.1
2023-12-10,7.8,5,5,55,1,4,3,1.5,0.75,0.5,0.25,0,0,39.4
2023-12-11,7.3,3,7,0,4,6,3,4.5,2.5,1.25,1,0.75,0.25,41.5
2023-12-12,6.5,4,7,50,2,6,5,5.5,3.75,2.75,2.5,0.25,0.25,64.3
2023-12-13,6.3,6,6,0,2,6,5,6,3.25,3,2.25,0.5,0.25,55.9
2023-12-14,8.9,5,4,45,2,6,5,5,2.5,1.75,1,2,0.75,46.4
2023-12-15,7.1,5,6,15,3,5,3,6,4,1.5,1.25,0.75,0.5,44
2023-12-16,6.9,4,5,20,3,3,2,3.75,2.25,0.5,0.5,1.75,0.75,42.6
2023-12-17,8.1,7,5,0,3,3,1,2.75,1.75,0.5,0.25,1.75,1,34.7
2023-12-18,6.9,6,5,10,3,6,4,8.5,7,1.75,1.25,2.5,1.75,66.3
2023-12-19,6.8,6,5,30,3,6,2,7.5,5.25,1.75,1.5,0.5,0.25,55.1
2023-12-20,7.7,7,6,0,4,5,5,7.25,6.25,2,1.5,2.75,1.75,74.4
2023-12-21,5.9,4,6,50,3,5,2,5.75,3,0.75,0.25,0.75,0.25,51
2023-12-22,7.5,7,10,15,0,5,4,5,4.75,1.75,1.5,1,1,67.4
2023-12-23,9.7,5,7,50,4,4,3,5.75,3.25,0.5,0.25,4,1.75,50
2023-12-24,8.3,5,5,30,3,4,3,3.25,2.25,0.5,0.25,0.25,0.25,54
2023-12-25,7,6,5,40,,6,3,8.25,6.25,2.25,1.25,2.5,1.75,65.5
2023-12-26,6.8,6,7,0,5,5,3,8.25,6,1.25,1,2.25,1.5,65.3
2023-12-27,6.7,7,5,0,7,5,4,7.75,6.25,0.75,0.5,2.5,2,65.7
2023-12-28,6.8,7,8,0,2,5,4,6,5,3.75,3.75,0.5,0.5,70.9
2023-12-29,6.7,7,8,165,5,6,6,7,4.75,2.75,2,2.75,2,70.7
2023-12-30,8.5,5,3,0,4,4,2,4,3,0.75,0.5,1.25,0.75,48.7
2023-12-31,6.3,5,,0,2,4,3,2,1.5,1,0.75,0.5,0.25,43.2
2024-01-01,7.8,6,4,0,,5,4,9.75,6.25,4.5,2.75,0.5,0.25,55.6
2024-01-02,6.6,8,8,70,2,5,5,4.75,4,1.5,1.5,0,0,64.8
2024-01-03,7.6,8,5,0,3,6,4,6.75,4.25,3.75,2.75,1.75,1,69.6
2024-01-04,6,5,6,0,3,5,5,8.5,6.25,1.5,1.25,3,1.75,60.1
2024-01-05,8.1,5,4,0,2,6,4,5,2.75,1.5,0.75,0.25,0.25,38.8
2024-01-06,8.7,5,6,15,2,3,3,3,2.25,1.5,1,0.75,0.5,52.4
2024-01-07,8.6,7,7,0,2,3,2,2.5,2.25,0.5,0.5,1.25,1,47.9
2024-01-08,5.7,3,7,0,2,6,2,6.75,3,4.25,2,0.5,0.25,37
2024-01-09,8.1,7,7,0,5,5,4,5,4.5,1.25,1,2.25,2,70.6
2024-01-10,7.8,,5,0,6,5,5,7.75,7.25,2,1.5,3.75,3.5,77.7
2024-01-11,6,7,9,0,4,6,6,7.75,7,1.5,1.5,1.5,1.5,72.4
2024-01-12,7.5,7,7,35,6,5,5,7.75,7,2,1.75,3.75,3.25,64.4
2024-01-13,8.7,6,9,70,1,3,3,0.5,0.5,0,0,0.25,0.25,58.8
2024-01-14,8.7,8,7,25,2,4,4,1.25,1.25,0.5,0.5,0.5,0.5,60.4
2024-01-15,7.3,5,5,0,8,5,4,5.75,3,2.5,1.25,2.25,0.75,49.3
2024-01-16,7.7,7,6,35,5,5,4,6.5,5.75,1.5,1.25,0.75,0.5,69.1
2024-01-17,8.6,7,6,0,,5,4,9.75,6.75,6.25,4.5,0.75,0.25,64.2
2024-01-18,8.3,6,7,0,4,5,5,7,6,2.75,2,3.25,2.5,68.8
2024-01-19,4.8,3,5,0,2,5,4,5.5,4.75,0.25,0.25,1.75,1.25,41.9
2024-01-20,7.3,4,5,0,2,4,2,1.5,1.25,0.5,0.5,0.5,0.25,
2024-01-21,7.3,5,6,0,1,3,2,2.25,1.5,1.5,1,0.25,0.25,44
2024-01-22,5,1,3,15,5,5,1,5.5,1,1,0.25,0.75,0,12
2024-01-23,6.6,3,3,0,2,5,2,5.75,3,0.5,0.25,3,1.25,42
2024-01-24,7.8,3,5,0,4,5,0,6.5,3,4,2.25,1.25,0.5,33.6
2024-01-25,,4,5,0,4,6,3,8.25,2.25,2.75,0.5,2.25,0.75,32
2024-01-26,7.2,7,6,5,3,5,4,7.75,6,2.75,2.5,0.75,0.5,61.3
2024-01-27,6.5,4,6,45,2,3,2,1,0.5,0,0,0.25,0,29.4
2024-01-28,,1,4,0,1,3,0,3.5,1,1.5,0.5,0.5,0,17.5
2024-01-29,7.8,5,4,0,8,5,2,6.25,2.5,1.5,0.5,3.5,1,27.4
2024-01-30,6,1,2,0,3,5,1,7.25,0.25,2,0.25,3.75,0,17
2024-01-31,7.1,5,4,0,8,6,2,6.25,1.25,4.25,1,0.75,0,27.9
2024-02-01,5.2,1,5,0,1,6,0,6.75,1.75,1.5,0.75,0.5,0.25,31.2
2024-02-02,8.6,5,5,0,5,5,3,7.5,5.75,2.75,1.75,1.75,1.25,55.8
2024-02-03,8.2,6,5,0,2,4,2,3,3,1.25,1,0.75,0.75,45.9
2024-02-04,7.5,,5,0,3,3,2,1.5,1.25,0.75,0.5,0.25,0.25,51.5
2024-02-05,7.7,6,7,20,6,5,4,9,5.75,1.25,1,4.75,2.25,63.5
2024-02-06,5.7,4,5,45,4,6,3,6.75,3.75,1.75,0.75,1,0.5,46.9
2024-02-07,8,5,6,0,8,6,4,8.5,5.25,0.5,0.25,1,0.5,51.2
2024-02-08,6.7,6,7,45,6,5,5,7.75,4.5,2,1.25,3.25,1.25,64
2024-02-09,7,6,5,0,6,6,4,5,4.25,1.5,1.5,1.75,1.5,58.3
2024-02-10,7.2,5,7,30,3,3,2,0,0,0,0,0,0,29.8
2024-02-11,7.2,5,6,0,3,4,4,1.5,1.5,0.5,0.5,0,0,44.8
2024-02-12,7.7,4,6,45,2,6,5,6,4.25,1.75,1.25,1.25,0.75,59.2
2024-02-13,7.3,6,3,0,4,6,6,7,5.5,3.5,2.5,0.75,0.5,63.3
2024-02-14,7.8,6,5,0,6,6,4,7.75,6.5,1.75,1.5,1.5,1,64
2024-02-15,6.8,2,3,35,6,6,0,8.75,2.25,0.75,0.25,1.5,0.25,30.2
2024-02-16,7.1,4,4,0,4,6,4,7.5,2,1.5,0.75,2.75,0.75,36.3
2024-02-17,6.6,2,4,0,4,4,2,3.5,0.75,1.25,0.25,0.25,0,19.3
2024-02-18,8.7,5,4,0,2,3,3,4,1.75,0.75,0.25,1.75,0.75,31
2024-02-19,4.8,1,3,0,4,5,0,7,0.75,2.25,0,1.25,0,3.4
2024-02-20,7.6,3,3,0,6,5,1,7,3,1.75,0.75,1.5,0.5,30
2024-02-21,7.8,6,6,0,4,6,2,7.25,4,3.75,1.75,2.25,0.75,47.9
2024-02-22,5.9,4,7,0,2,5,3,9.75,4.75,3,1.5,1.5,0.75,50.6
2024-02-23,8.9,5,5,0,7,5,4,8.5,5.5,3.5,2.5,1.5,0.75,51.7
2024-02-24,8.7,6,6,55,0,4,2,0.5,0.5,0.25,0.25,0,0,41.6
2024-02-25,8.6,7,6,45,2,3,2,1.5,1.25,0.25,0.25,1,1,46.7
2024-02-26,7.4,4,6,0,2,6,3,6.25,5,1.75,1.5,1,0.75,58.4
2024-02-27,7.1,4,5,0,5,6,2,7,4,2.5,1.25,2,0.75,48.9
2024-02-28,,5,4,20,3,5,1,6,4.75,2,1.5,0.75,0.5,51.8
2024-02-29,7.3,7,5,,1,5,4,7.75,6.75,2.75,2.5,1,1,77.1
2024-03-01,8,5,6,0,5,5,4,7.5,3.25,0.75,0.25,0.75,0.25,47
2024-03-02,7.4,5,6,0,4,3,2,1,0.75,0.25,0.25,0.25,0.25,32.4
2024-03-03,6.4,5,7,25,0,3,1,0,0,0,0,0,0,24.4
2024-03-04,7.6,8,6,0,7,5,4,7.25,6.25,1,1,1.5,1.25,66.3
2024-03-05,8,6,5,,1,5,4,4.75,4,2.25,1.75,0.25,0.25,59.2
2024-03-06,7.5,5,5,30,6,5,3,7,4.25,3,1.5,1.5,0.75,53.6
2024-03-07,7.7,8,5,0,3,6,5,7.25,6.25,1.75,1.25,3.75,2.75,72
2024-03-08,6.6,3,4,80,3,6,5,8.25,2.5,2.75,0.75,2.25,0.75,47.4
2024-03-09,6.7,6,6,0,3,3,1,3.5,3,1,1,0.25,0.25,43.3
2024-03-10,6.7,4,6,50,3,4,3,2.5,1.25,0.75,0.5,0.5,0.25,39.3
2024-03-11,5.1,1,6,0,8,5,1,7.25,1.25,1,0,0.75,0,12.2
2024-03-12,7.1,5,6,15,1,5,3,5.25,3.25,1.75,1.25,0.5,0.25,54.5
2024-03-13,6.7,3,3,0,3,5,2,5.25,1.5,2.5,0.75,1.5,0.75,41.6
2024-03-14,6.3,3,4,0,6,5,0,8.5,2.5,3,1,1,0,22.5
2024-03-15,3.9,1,4,40,1,5,2,8.5,2.25,2.5,0.75,1.75,0.25,28.1
2024-03-16,6,4,4,0,3,3,2,0.75,0.25,0.25,0,0.5,0.25,22.9
2024-03-17,8.3,5,5,10,8,3,2,0.75,0.5,0.25,0.25,0,0,32.1
2024-03-18,6.1,4,3,0,5,5,4,8.25,3.25,4.5,2,2.25,0.75,38.6
2024-03-19,7.2,6,6,0,3,6,1,8,5.25,2.5,2,2.75,1.5,49.6
2024-03-20,5.7,2,5,0,4,6,3,5.75,3,1.75,1,2.5,0.5,32.5
2024-03-21,8.5,7,8,0,9,6,3,9.25,7.75,4.25,4.25,1.75,1,64.2
2024-03-22,7,,6,0,8,6,5,7.75,4.5,1.25,0.75,4.75,2,57.2
2024-03-23,7.7,8,7,10,3,4,2,3.5,3,0.75,0.75,0.5,0.5,51.8
2024-03-24,9.7,5,6,45,1,3,1,3.25,2.75,0.75,0.5,1.25,1,42.4
2024-03-25,8.3,6,6,40,2,5,3,7.25,5.5,4.25,3.25,1.25,1,68.2
2024-03-26,6.9,7,8,35,3,5,5,4.75,4,1.75,1.5,0,0,64.4
2024-03-27,6.7,7,5,0,2,5,5,8,7,2,1.75,1,0.75,71.1
2024-03-28,6.9,5,5,,6,6,4,5.75,4,1.25,1,2,1,66.9
2024-03-29,7.6,6,8,0,0,5,3,7.5,6,1.75,1.25,3.75,3.25,71.5
2024-03-30,8,8,7,40,2,4,4,2.5,2.25,0.25,0.25,1.75,1.75,64.2
2024-03-31,8,7,8,40,1,4,3,1.75,1.5,0.5,0.5,0.75,0.75,64
2024-04-01,8.9,7,7,0,0,5,4,6,5.5,2,1.75,1.5,1.25,73.2
2024-04-02,7.4,7,8,60,3,6,6,6.75,6,0.75,0.75,0.75,0.75,77.9
2024-04-03,9.7,8,8,0,6,5,5,9.5,9,5.75,5.75,0.25,0.25,74
2024-04-04,7.4,6,7,0,6,5,3,8.75,7,2.25,1.5,3,1.5,71.3
2024-04-05,8.9,5,6,,3,5,4,7.5,7,3.5,3.5,1.5,1.25,72.9
2024-04-06,8.2,5,7,0,4,3,1,3,2.25,0.75,0.5,0.75,0.25,43.5
2024-04-07,8.7,5,7,0,1,4,2,3,1.75,1.25,0.5,1,0.75,44.3
2024-04-08,6.4,3,6,20,6,5,3,8.5,3.75,0.5,0.25,4.5,0.5,43.2
2024-04-09,6,3,4,0,2,5,2,6,3.5,2.5,1,0.25,0,35.1
2024-04-10,6.9,2,6,40,5,5,2,7,2,3.25,0.5,1.75,0,36.5
2024-04-11,7.2,3,4,0,6,5,2,4.75,1,1,0.25,2.25,0.25,26.6
2024-04-12,6.4,2,1,0,3,6,1,8.5,1.75,1.25,0.25,1,0.25,32.5
2024-04-13,5.9,2,6,0,1,4,3,0,0,0,0,0,0,24
2024-04-14,6.3,6,6,0,2,3,2,1.75,1.5,0.5,0.25,0.75,0.75,39.2
2024-04-15,5.9,5,5,0,5,6,6,4.25,1.75,1,0.5,2,1,42.5
2024-04-16,5.3,2,4,0,3,5,2,7.75,3.25,0.5,0.25,2,0.5,25.7
2024-04-17,7.1,5,6,0,3,5,2,5.75,4.5,1.25,1,1,0.5,44.5
2024-04-18,7.9,5,5,45,4,6,1,6.25,3.25,1.75,0.75,2.25,1,49.1
2024-04-19,6.9,5,4,25,9,5,5,7.75,2.75,2.5,1.25,1.5,0.5,41
2024-04-20,5.5,4,5,25,0,3,2,3.75,2.25,1.5,0.75,0.75,0.5,48.2
2024-04-21,7.5,5,6,0,1,3,2,2.25,1.75,1,1,0,0,49.5
2024-04-22,6.9,5,5,45,4,5,2,6.25,4.25,4.25,2.5,0.25,0,49.4
2024-04-23,9.1,4,7,30,6,6,3,7.25,3.75,2.5,1,2.5,1,48.2
2024-04-24,5.6,3,6,55,3,5,3,6.5,2.75,3,1.25,1.25,0.5,51.6
2024-04-25,6.6,6,6,0,6,5,2,5.5,3.75,1,0.75,2.75,1.25,56.1
2024-04-26,9,7,8,10,3,5,4,6.5,6,0.75,0.75,1.5,1.25,63
2024-04-27,8.4,9,7,30,3,4,3,1.5,1.5,0.75,0.75,0,0,50.1
2024-04-28,8.7,7,6,55,2,4,3,0.75,0.75,0.25,0.25,0.25,0.25,49.3
2024-04-29,7.6,7,10,85,,6,6,5.25,5,2.25,2,1.25,1,77.6
2024-04-30,7.8,7,8,15,6,6,4,8.25,7.5,0.25,0.25,3,2.5,70.1
2024-05-01,8.1,7,9,0,2,6,5,3.5,3.25,2,1.75,1.25,1.25,70.3
2024-05-02,6.5,5,7,35,5,6,2,6.5,5.25,0.5,0.5,4.75,3.75,68.8
2024-05-03,7.9,6,6,15,1,6,6,6.25,4.5,3.25,2.5,2,1.25,61.2
2024-05-04,6.5,6,3,15,,3,2,3.5,3.25,1,1,1.75,1.25,50.9
2024-05-05,7.9,7,5,0,0,3,3,2.5,1.5,1,1,1,1,47.9
2024-05-06,7.2,6,7,10,5,5,5,8.5,6.5,2.75,2,3.75,2.75,65.4
2024-05-07,6.7,7,7,15,1,5,2,6,5.5,2.25,2,1,1,65.3
2024-05-08,7.3,6,6,0,4,5,4,7.75,6.25,1.75,1.25,1.5,1.25,64
2024-05-09,6.6,6,3,0,4,6,6,7.25,5,3,2.5,1.75,1.25,64.5
2024-05-10,6.3,4,6,20,6,6,3,4.75,3,3,1.75,0.75,0.5,47.8
2024-05-11,7.4,7,5,25,2,3,3,1,1,0.5,0.5,0.25,0.25,51.1
2024-05-12,6.9,8,6,20,1,3,3,1.75,1.5,0.25,0.25,0.5,0.5,54.9
2024-05-13,7.2,5,6,15,4,5,1,7.5,4.5,3.5,2.5,1.25,0.5,48.7
2024-05-14,5.8,1,3,35,5,6,2,7.5,3,1.25,0.5,1.25,0.25,30.4
2024-05-15,7.2,4,,0,5,5,0,7.25,2.5,1.25,0.5,2.5,1,32.4
2024-05-16,5.3,2,4,20,4,5,2,6.25,2,1.75,0.75,1,0.25,26
2024-05-17,6.2,4,6,30,7,5,2,8,2.75,2.25,0.75,1.5,0.25,28.8
2024-05-18,7,5,5,50,6,4,3,3.5,2,1.25,0.75,0.75,0.25,45.8
2024-05-19,8.6,7,8,20,4,3,2,1.5,1,0.5,0.5,0.25,0.25,38.9
2024-05-20,6.9,5,3,0,4,6,2,6.25,3.5,3,1.5,1,0.5,38.6
2024-05-21,5.9,3,2,0,4,6,0,6,1.25,2,0,1.5,0.25,9.7
2024-05-22,6.7,4,2,0,6,5,1,7.5,2.75,3.75,0.75,1,0.25,27
2024-05-23,4.9,3,3,0,5,6,4,8.5,2.75,5.75,1,2,0.5,31.1
2024-05-24,6.9,5,7,,0,6,5,6.5,4.5,3.25,2.25,1.75,1,67
2024-05-25,,6,5,0,1,4,3,2.75,2.25,1,1,0.75,0.5,39.3
2024-05-26,7.7,5,4,20,4,3,1,2,1.75,0.5,0.25,0.5,0.25,39.3
2024-05-27,6.7,4,6,95,6,6,3,5.75,2.75,3.5,1.5,0.25,0,46.4
2024-05-28,7.2,7,6,0,6,6,2,6.75,5.25,2,1.75,2,1.75,53.3
2024-05-29,7.6,5,7,0,2,5,1,6.5,5,2.5,2,2.5,1.5,56.4
2024-05-30,5,2,5,0,5,5,2,6,2.75,3,1,0.5,0,18.6
2024-05-31,5.5,3,4,20,4,6,4,7.5,4,1.75,1,0.75,0.5,38.2
2024-06-01,7.8,5,6,35,4,4,4,5.25,4.5,0.5,0.5,1.5,1,60.1
2024-06-02,7.1,6,7,40,2,4,4,2.5,2.25,0.75,0.75,0.25,0.25,59.8
2024-06-03,8.2,8,5,0,7,6,6,4.75,3.5,2,1.5,1.25,0.5,51.9
2024-06-04,6.9,6,6,0,6,5,4,7.5,6.25,2.25,2,1.75,1.25,74.5
2024-06-05,5.7,3,5,40,4,5,4,6,5.25,4.25,3,1,0.5,59.8
2024-06-06,6,4,5,45,5,6,3,7.5,4.5,2.75,1.5,0.25,0.25,45.4
2024-06-07,4.5,3,5,30,6,5,3,8,2.5,3.75,1.25,3,0.5,32.9
2024-06-08,7.6,6,8,45,5,3,3,3.5,2.5,1.5,0.75,0.75,0.25,51.8
2024-06-09,7.6,4,7,20,1,4,4,4,2.75,0.5,0.25,1.25,0.75,56.6
2024-06-10,7,8,8,40,1,5,5,9.25,7.75,1,0.75,4,3.25,79.5
2024-06-11,8.2,7,6,0,6,5,3,7.5,6,4.5,3.75,0.5,0.25,57.3
2024-06-12,8.5,7,7,0,5,5,4,6.5,6,2.25,2,2,1.75,74
2024-06-13,7.2,6,5,0,4,5,4,5.75,5,1.75,1.5,1.5,1.5,63.9
2024-06-14,5.4,5,5,0,3,5,3,6.25,4.75,1.75,1.25,2,1.25,58.7
2024-06-15,8.7,7,6,0,1,3,3,2.5,2.25,0.5,0.5,0.5,0.5,53.7
2024-06-16,8.5,8,8,0,0,3,2,3,2.75,1.75,1.75,0.25,0.25,53
2024-06-17,7.4,7,7,20,7,5,4,6,4.5,3.25,2.75,0.25,0.25,58.1
2024-06-18,7.9,6,7,75,5,6,4,8.5,5,2,1,2,0.75,73.1
2024-06-19,6.1,5,8,35,3,6,5,6.5,4.5,2.5,1.25,0.25,0.25,62.5
2024-06-20,8.6,5,5,0,9,6,3,5.75,1.5,3.25,0.75,1.5,0.25,35.6
2024-06-21,6.1,5,4,,7,6,4,6.5,4.5,2.25,1.5,0.75,0.25,46.9
2024-06-22,,5,6,35,0,3,3,1.5,1,0.25,0.25,0.75,0.5,45.9
2024-06-23,6.2,3,4,0,2,4,2,2,1.25,0.75,0.5,0.5,0.25,44.8
2024-06-24,5.8,3,5,0,6,6,2,6.75,2,1.5,0.5,3.25,0.5,28.2
2024-06-25,7.9,6,4,0,5,5,4,8,5,4.75,3.25,0.25,0,53.6
2024-06-26,6.1,3,4,0,2,5,5,4.5,1.75,2.5,1.25,0.75,0.25,41.4
2024-06-27,7.1,4,6,70,4,6,1,8.5,2.25,4.25,1.25,1,0.25,33.5
2024-06-28,6.7,3,3,0,7,6,3,8,1.5,3,0.75,1.75,0.25,23
2024-06-29,7.1,5,6,15,3,3,2,4,2.25,1.25,0.75,0.75,0.5,42.5
2024-06-30,8.4,5,4,0,1,3,1,4,2.75,2.75,1.75,0.5,0.25,43.3
2024-07-01,6.5,3,5,30,5,5,1,8.25,4.75,0.5,0.25,1.75,1,35.7
2024-07-02,5.2,1,4,20,3,5,2,5,1.75,1.25,0.5,1.5,0.25,25.5
2024-07-03,5.9,5,5,0,8,6,4,8,3.5,2.5,1.25,4.25,1.5,40.1
2024-07-04,7.3,3,3,0,6,6,3,6,2.75,2.5,1.25,1.5,0.25,31.6
2024-07-05,7.3,6,4,40,2,5,4,4.75,4.25,1.5,1.25,1.75,1.25,58.4
2024-07-06,6.2,3,6,0,0,4,1,2.75,1.5,1,0.5,0.25,0.25,38.1
2024-07-07,7.1,6,6,40,2,4,2,3.25,3.25,0.25,0.25,1.75,1.5,50.3
2024-07-08,6.6,5,5,0,6,6,3,6,4.25,2,1.5,2,1,55.6
2024-07-09,7.2,5,6,30,5,5,4,7.5,7,5.25,5.25,1.5,1.25,75.4
2024-07-10,6.1,6,8,25,1,6,4,4.75,4.5,3.25,2.25,0.75,0.5,66.7
2024-07-11,6.7,5,7,0,1,6,4,4.25,2.75,1.75,1.5,0.5,0.25,54.9
2024-07-12,6.4,3,5,0,4,6,3,8.75,3.75,1.25,0.5,2.5,1,40.5
2024-07-13,8.2,7,5,0,0,3,2,2.75,2.5,0.75,0.75,1,1,49.4
2024-07-14,8,7,6,0,6,3,3,2.25,1.5,0.5,0.25,0.75,0.5,44.9
2024-07-15,6.4,5,4,0,4,6,1,7,3.75,2.5,1.25,3.25,1.25,37
2024-07-16,6.3,,4,0,5,5,3,8.25,4.25,1.75,1,1,0.5,43.9
2024-07-17,6.9,5,4,40,4,6,1,7.5,4,1,0.5,1.5,0.75,43.2
2024-07-18,6.1,5,5,0,4,5,3,7.25,4.75,2.5,1,0.5,0.25,49.3
2024-07-19,5.7,5,6,0,10,6,5,8.5,2.5,5.5,1.75,1.25,0.25,38.5
2024-07-20,6.7,6,6,0,3,3,3,2.25,2,0.25,0.25,0.25,0.25,41.1
2024-07-21,7.1,5,5,0,0,3,2,3.75,2.25,2,1.5,0.5,0.25,48.6
2024-07-22,6,4,6,0,1,5,2,7,5.5,2.5,1.75,2,1.25,47.4
2024-07-23,7.1,6,6,0,1,5,4,6.75,5.25,4.25,3.5,0.5,0.5,56.7
2024-07-24,7.7,4,6,30,5,5,5,6.5,3.75,0.75,0.5,0.5,0.25,52.5
2024-07-25,5.6,4,5,0,5,5,2,7,3.5,2.25,1.25,1.25,0.5,52.4
2024-07-26,6.8,7,4,0,8,5,5,7,4,4,2,1.5,0.75,55.1
2024-07-27,7.2,6,6,15,3,4,3,3.25,2.5,1.5,1.25,0.25,0.25,54.3
2024-07-28,7.8,7,4,0,3,4,2,4.5,3,1.75,1.25,0.75,0.5,49.9
2024-07-29,6.7,5,6,60,5,6,5,5.75,2.25,1.5,0.5,1,0.25,47.1
2024-07-30,5.5,3,3,0,5,5,2,6.75,2.75,4.5,2.25,1.5,0.5,37.9
2024-07-31,5.5,2,5,0,7,6,0,6.5,0.75,2.75,0.5,1.75,0,11.8
2024-08-01,7,4,2,15,7,6,4,7.5,4.25,3.75,2.25,2.75,1.5,51.4
2024-08-02,8.1,5,8,60,4,5,2,4.25,3,2.5,1.5,1,0.75,60.5
2024-08-03,5.7,5,4,0,1,4,2,3,2.25,1.25,0.75,0.25,0.25,42.2
2024-08-04,8,8,5,25,3,4,4,2.75,2.25,1.5,1.25,0.25,0.25,60.6
2024-08-05,7.7,4,5,0,4,5,1,8.5,2.5,2.75,1,5,1,37.7
2024-08-06,6.4,4,5,30,5,5,2,6.5,2.25,3.75,1.25,1,0.25,44.1
